[2025-06-19T12:41:18.264Z] model usage detail: {"prompt_tokens":5433,"completion_tokens":136,"total_tokens":5569}
[2025-06-19T12:41:34.574Z] model usage detail: {"prompt_tokens":5571,"completion_tokens":134,"total_tokens":5705}
[2025-06-19T12:42:18.539Z] model usage detail: {"prompt_tokens":1521,"completion_tokens":87,"total_tokens":1608}
[2025-06-19T12:42:32.069Z] model usage detail: {"prompt_tokens":2794,"completion_tokens":80,"total_tokens":2874}
[2025-06-19T14:46:28.853+02:00] model usage detail: {"prompt_tokens":1387,"completion_tokens":114,"total_tokens":1501}
[2025-06-19T12:50:05.071Z] model usage detail: {"prompt_tokens":1359,"completion_tokens":160,"total_tokens":1519}
[2025-06-19T12:50:26.564Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":121,"total_tokens":1465}
[2025-06-19T12:50:52.379Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":119,"total_tokens":1463}
[2025-06-19T12:51:06.599Z] model usage detail: {"prompt_tokens":1393,"completion_tokens":113,"total_tokens":1506}
[2025-06-19T12:51:24.578Z] model usage detail: {"prompt_tokens":1044,"completion_tokens":131,"total_tokens":1175}
[2025-06-19T12:51:44.420Z] model usage detail: {"prompt_tokens":1348,"completion_tokens":126,"total_tokens":1474}
[2025-06-19T12:51:59.333Z] model usage detail: {"prompt_tokens":1101,"completion_tokens":141,"total_tokens":1242}
[2025-06-19T12:52:17.061Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":118,"total_tokens":1462}
[2025-06-19T12:52:41.297Z] model usage detail: {"prompt_tokens":1394,"completion_tokens":122,"total_tokens":1516}
[2025-06-19T12:53:00.506Z] model usage detail: {"prompt_tokens":1345,"completion_tokens":126,"total_tokens":1471,"prompt_tokens_details":null,"completion_tokens_details":null}
[2025-06-19T12:53:21.352Z] model usage detail: {"prompt_tokens":1397,"completion_tokens":124,"total_tokens":1521}
[2025-06-19T12:53:37.228Z] model usage detail: {"prompt_tokens":1342,"completion_tokens":118,"total_tokens":1460}
[2025-06-19T12:53:58.184Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":118,"total_tokens":1462}
[2025-06-19T12:54:16.640Z] model usage detail: {"prompt_tokens":1345,"completion_tokens":70,"total_tokens":1415}
[2025-06-19T12:54:31.580Z] model usage detail: {"prompt_tokens":1345,"completion_tokens":111,"total_tokens":1456}
[2025-06-19T12:54:47.050Z] model usage detail: {"prompt_tokens":1392,"completion_tokens":101,"total_tokens":1493}
[2025-06-19T12:55:04.289Z] model usage detail: {"prompt_tokens":1407,"completion_tokens":104,"total_tokens":1511}
[2025-06-19T12:55:18.255Z] model usage detail: {"prompt_tokens":1120,"completion_tokens":116,"total_tokens":1236}
[2025-06-19T12:55:34.993Z] model usage detail: {"prompt_tokens":1339,"completion_tokens":62,"total_tokens":1401}
[2025-06-19T12:55:51.523Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":115,"total_tokens":1459}
[2025-06-19T12:56:10.734Z] model usage detail: {"prompt_tokens":1397,"completion_tokens":64,"total_tokens":1461}
[2025-06-19T12:56:23.591Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":115,"total_tokens":1459}
[2025-06-19T12:56:48.526Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":87,"total_tokens":1431}
[2025-06-19T12:57:05.019Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":73,"total_tokens":1417}
[2025-06-19T12:58:48.366Z] model usage detail: {"prompt_tokens":1359,"completion_tokens":159,"total_tokens":1518}
[2025-06-19T12:59:07.003Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":123,"total_tokens":1467}
[2025-06-19T12:59:23.560Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":116,"total_tokens":1460}
[2025-06-19T12:59:44.528Z] model usage detail: {"prompt_tokens":1393,"completion_tokens":114,"total_tokens":1507}
[2025-06-19T12:59:59.212Z] model usage detail: {"prompt_tokens":1043,"completion_tokens":129,"total_tokens":1172}
[2025-06-19T13:00:18.838Z] model usage detail: {"prompt_tokens":1350,"completion_tokens":123,"total_tokens":1473}
[2025-06-19T13:00:36.701Z] model usage detail: {"prompt_tokens":1404,"completion_tokens":125,"total_tokens":1529}
[2025-06-19T13:00:53.029Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":118,"total_tokens":1462}
[2025-06-19T13:01:17.233Z] model usage detail: {"prompt_tokens":1394,"completion_tokens":122,"total_tokens":1516}
[2025-06-19T13:01:32.329Z] model usage detail: {"prompt_tokens":1045,"completion_tokens":136,"total_tokens":1181}
[2025-06-19T13:01:49.399Z] model usage detail: {"prompt_tokens":1402,"completion_tokens":119,"total_tokens":1521}
[2025-06-19T13:02:06.522Z] model usage detail: {"prompt_tokens":1339,"completion_tokens":117,"total_tokens":1456}
[2025-06-19T13:02:27.681Z] model usage detail: {"prompt_tokens":1339,"completion_tokens":113,"total_tokens":1452}
[2025-06-19T13:02:48.805Z] model usage detail: {"prompt_tokens":1342,"completion_tokens":123,"total_tokens":1465}
[2025-06-19T13:03:03.494Z] model usage detail: {"prompt_tokens":1089,"completion_tokens":133,"total_tokens":1222}
[2025-06-19T13:03:23.257Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":130,"total_tokens":1474}
[2025-06-19T13:03:43.202Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":122,"total_tokens":1466}
[2025-06-19T13:04:02.017Z] model usage detail: {"prompt_tokens":1342,"completion_tokens":114,"total_tokens":1456}
[2025-06-19T13:04:24.103Z] model usage detail: {"prompt_tokens":1342,"completion_tokens":113,"total_tokens":1455}
[2025-06-19T13:04:44.387Z] model usage detail: {"prompt_tokens":1339,"completion_tokens":79,"total_tokens":1418}
[2025-06-19T13:05:08.547Z] model usage detail: {"prompt_tokens":1039,"completion_tokens":105,"total_tokens":1144}
[2025-06-19T13:05:31.359Z] model usage detail: {"prompt_tokens":1345,"completion_tokens":87,"total_tokens":1432}
[2025-06-19T13:05:44.460Z] model usage detail: {"prompt_tokens":1037,"completion_tokens":107,"total_tokens":1144}
[2025-06-19T13:06:03.936Z] model usage detail: {"prompt_tokens":1343,"completion_tokens":128,"total_tokens":1471,"prompt_tokens_details":null,"completion_tokens_details":null}
[2025-06-19T13:08:26.957Z] model usage detail: {"prompt_tokens":1359,"completion_tokens":143,"total_tokens":1502}
[2025-06-19T13:08:51.388Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":126,"total_tokens":1470}
[2025-06-19T13:09:16.917Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":122,"total_tokens":1466}
[2025-06-19T13:09:40.598Z] model usage detail: {"prompt_tokens":1393,"completion_tokens":114,"total_tokens":1507}
[2025-06-19T13:10:00.363Z] model usage detail: {"prompt_tokens":1345,"completion_tokens":123,"total_tokens":1468}
[2025-06-19T13:10:15.125Z] model usage detail: {"prompt_tokens":1350,"completion_tokens":128,"total_tokens":1478}
[2025-06-19T13:10:34.346Z] model usage detail: {"prompt_tokens":1404,"completion_tokens":119,"total_tokens":1523}
[2025-06-19T13:10:53.733Z] model usage detail: {"prompt_tokens":1344,"completion_tokens":118,"total_tokens":1462}
[2025-06-19T13:11:22.783Z] model usage detail: {"prompt_tokens":1394,"completion_tokens":122,"total_tokens":1516}
[2025-06-19T13:11:41.077Z] model usage detail: {"prompt_tokens":1347,"completion_tokens":127,"total_tokens":1474,"prompt_tokens_details":null,"completion_tokens_details":null}
[2025-06-19T13:12:05.411Z] model usage detail: {"prompt_tokens":1401,"completion_tokens":112,"total_tokens":1513}
[2025-06-19T13:12:28.400Z] model usage detail: {"prompt_tokens":1339,"completion_tokens":117,"total_tokens":1456}
[2025-06-19T13:12:44.322Z] model usage detail: {"prompt_tokens":1339,"completion_tokens":113,"total_tokens":1452}
[2025-06-19T13:13:06.341Z] model usage detail: {"prompt_tokens":1342,"completion_tokens":91,"total_tokens":1433}
[2025-06-23T21:00:19.929+02:00] model usage detail: {"prompt_tokens":1874,"completion_tokens":76,"total_tokens":1950,"prompt_tokens_details":{"cached_tokens":0,"audio_tokens":0},"completion_tokens_details":{"reasoning_tokens":0,"audio_tokens":0,"accepted_prediction_tokens":0,"rejected_prediction_tokens":0}}
[2025-06-23T21:00:40.197+02:00] model usage detail: {"prompt_tokens":1875,"completion_tokens":73,"total_tokens":1948,"prompt_tokens_details":{"cached_tokens":0,"audio_tokens":0},"completion_tokens_details":{"reasoning_tokens":0,"audio_tokens":0,"accepted_prediction_tokens":0,"rejected_prediction_tokens":0}}
[2025-06-23T21:00:59.933+02:00] model usage detail: {"prompt_tokens":1872,"completion_tokens":71,"total_tokens":1943,"prompt_tokens_details":{"cached_tokens":0,"audio_tokens":0},"completion_tokens_details":{"reasoning_tokens":0,"audio_tokens":0,"accepted_prediction_tokens":0,"rejected_prediction_tokens":0}}
[2025-06-23T21:01:20.443+02:00] model usage detail: {"prompt_tokens":1874,"completion_tokens":71,"total_tokens":1945,"prompt_tokens_details":{"cached_tokens":1536,"audio_tokens":0},"completion_tokens_details":{"reasoning_tokens":0,"audio_tokens":0,"accepted_prediction_tokens":0,"rejected_prediction_tokens":0}}
[2025-06-23T21:06:11.504+02:00] model usage detail: {"prompt_tokens":1388,"completion_tokens":106,"total_tokens":1494}
[2025-06-23T21:06:35.363+02:00] model usage detail: {"prompt_tokens":1389,"completion_tokens":108,"total_tokens":1497}
[2025-06-23T21:06:59.529+02:00] model usage detail: {"prompt_tokens":1386,"completion_tokens":114,"total_tokens":1500,"prompt_tokens_details":null,"completion_tokens_details":null}
[2025-06-23T21:07:40.774+02:00] model usage detail: {"prompt_tokens":1388,"completion_tokens":106,"total_tokens":1494}
[2025-06-23T21:08:06.161+02:00] model usage detail: {"prompt_tokens":1389,"completion_tokens":108,"total_tokens":1497}
[2025-06-23T21:08:29.230+02:00] model usage detail: {"prompt_tokens":1386,"completion_tokens":104,"total_tokens":1490}
[2025-06-23T21:08:51.299+02:00] model usage detail: {"prompt_tokens":1388,"completion_tokens":106,"total_tokens":1494}
[2025-06-23T21:11:00.305+02:00] model usage detail: {"prompt_tokens":1386,"completion_tokens":102,"total_tokens":1488}
[2025-06-23T21:11:24.329+02:00] model usage detail: {"prompt_tokens":1085,"completion_tokens":138,"total_tokens":1223}
[2025-06-23T21:11:46.203+02:00] model usage detail: {"prompt_tokens":1387,"completion_tokens":121,"total_tokens":1508}
[2025-06-23T21:12:04.976+02:00] model usage detail: {"prompt_tokens":1436,"completion_tokens":123,"total_tokens":1559}
[2025-06-23T21:12:23.577+02:00] model usage detail: {"prompt_tokens":1151,"completion_tokens":108,"total_tokens":1259}
[2025-06-23T21:12:41.183+02:00] model usage detail: {"prompt_tokens":1470,"completion_tokens":122,"total_tokens":1592}
[2025-06-23T21:13:03.330+02:00] model usage detail: {"prompt_tokens":1487,"completion_tokens":121,"total_tokens":1608,"prompt_tokens_details":null,"completion_tokens_details":null}
[2025-06-23T21:13:23.580+02:00] model usage detail: {"prompt_tokens":1504,"completion_tokens":116,"total_tokens":1620}
[2025-06-23T21:13:41.571+02:00] model usage detail: {"prompt_tokens":1521,"completion_tokens":122,"total_tokens":1643}
[2025-06-23T21:14:01.836+02:00] model usage detail: {"prompt_tokens":1538,"completion_tokens":116,"total_tokens":1654}
[2025-06-23T21:14:24.323+02:00] model usage detail: {"prompt_tokens":1253,"completion_tokens":109,"total_tokens":1362}
[2025-06-23T21:14:44.580+02:00] model usage detail: {"prompt_tokens":1572,"completion_tokens":121,"total_tokens":1693}
[2025-06-23T21:15:03.446+02:00] model usage detail: {"prompt_tokens":1589,"completion_tokens":116,"total_tokens":1705}
[2025-06-23T21:19:16.911+02:00] model usage detail: {"prompt_tokens":1386,"completion_tokens":98,"total_tokens":1484}
[2025-06-23T21:19:39.240+02:00] model usage detail: {"prompt_tokens":1387,"completion_tokens":124,"total_tokens":1511}
[2025-06-23T21:20:05.895+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:20:25.761+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:20:47.626+02:00] model usage detail: {"prompt_tokens":1088,"completion_tokens":124,"total_tokens":1212}
[2025-06-23T21:21:10.338+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":127,"total_tokens":1517,"prompt_tokens_details":null,"completion_tokens_details":null}
[2025-06-23T21:21:32.240+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":129,"total_tokens":1519}
[2025-06-23T21:21:57.564+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:22:25.388+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:22:46.987+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":124,"total_tokens":1514}
[2025-06-23T21:23:07.916+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":129,"total_tokens":1519}
[2025-06-23T21:23:33.292+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:23:55.449+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:24:16.583+02:00] model usage detail: {"prompt_tokens":1088,"completion_tokens":124,"total_tokens":1212}
[2025-06-23T21:24:41.312+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":130,"total_tokens":1520,"prompt_tokens_details":null,"completion_tokens_details":null}
[2025-06-23T21:25:02.042+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:25:23.828+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":110,"total_tokens":1500}
[2025-06-23T21:25:36.583+02:00] model usage detail: {"prompt_tokens":1441,"completion_tokens":63,"total_tokens":1504}
[2025-06-23T21:25:47.443+02:00] model usage detail: {"prompt_tokens":1387,"completion_tokens":111,"total_tokens":1498}
[2025-06-23T21:27:38.290+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":111,"total_tokens":1501}
